,game_id,team name,points,assists,offReb,defReb,totReb,steals,turnovers,blocks,tpm,tpa,plusMinus,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,fgm,fga,ftm,fta,pfouls,id,date
24,13612,Magic,97,20,13,25,38,10,17,8,10,29,-3,,,,,,,38,86,11,15,11,13612,2024-03-29
25,13612,Clippers,100,19,12,29,41,11,17,4,8,24,3,,,,,,,41,85,10,12,17,13612,2024-03-29
26,13613,Wizards,87,22,9,38,47,2,19,4,9,33,-9,,,,,,,36,88,6,8,18,13613,2024-03-29
27,13613,Pistons,96,19,8,39,47,9,13,5,6,24,9,,,,,,,37,89,16,20,18,13613,2024-03-29
28,13614,Nets,125,26,12,31,43,9,7,3,25,44,17,,,,,,,43,91,14,22,22,13614,2024-03-29
29,13614,Bulls,108,24,5,39,44,3,13,6,9,30,-17,,,,,,,38,75,23,29,18,13614,2024-03-29
30,13615,Cavaliers,117,34,5,32,37,4,14,3,16,37,3,,,,,,,45,82,11,13,17,13615,2024-03-29
31,13615,76ers,114,28,16,26,42,6,9,7,16,40,-3,,,,,,,42,94,14,17,20,13615,2024-03-29
32,13602,Bulls,125,28,13,41,54,7,8,5,12,27,26,,,,,,,49,98,15,18,19,13602,2024-03-28
33,13602,Pacers,99,25,12,28,40,3,13,4,13,42,-26,,,,,,,34,85,18,23,23,13602,2024-03-28
34,13603,Grizzlies,124,30,13,26,39,10,14,3,17,43,-12,,,,,,,46,97,15,19,23,13603,2024-03-28
35,13603,Lakers,136,31,4,39,43,5,16,4,18,33,12,,,,,,,45,81,28,35,19,13603,2024-03-28
36,13604,Timberwolves,106,28,9,31,40,8,12,3,11,36,15,,,,,,,42,82,11,16,17,13604,2024-03-28
37,13604,Pistons,91,15,10,31,41,9,12,1,9,32,-15,,,,,,,31,81,20,25,14,13604,2024-03-28
38,13605,Thunder,126,26,13,36,49,7,19,7,14,38,-6,,,,,,,47,96,18,24,24,13605,2024-03-28
39,13605,Rockets,132,25,16,34,50,10,16,3,15,43,6,,,,,,,50,104,17,23,24,13605,2024-03-28
40,13606,Jazz,111,25,6,30,36,8,22,4,13,35,-7,,,,,,,39,83,20,22,16,13606,2024-03-28
41,13606,Spurs,118,40,9,32,41,9,21,7,16,33,7,,,,,,,44,86,14,21,21,13606,2024-03-28
42,13607,Nuggets,97,24,9,29,38,9,8,4,10,40,-7,,,,,,,38,88,11,12,13,13607,2024-03-28
43,13607,Suns,104,29,12,39,51,3,17,7,16,33,7,,,,,,,39,83,10,11,13,13607,2024-03-28
44,13608,Hawks,123,24,17,36,53,5,11,5,15,44,1,,,,,,,51,104,6,10,17,13608,2024-03-28
45,13608,Celtics,122,28,9,34,43,7,12,6,14,36,-1,,,,,,,45,94,18,21,15,13608,2024-03-28
46,13594,Pelicans,112,26,5,32,37,7,10,2,14,38,-7,,,,,,,39,86,20,23,18,13594,2024-03-27
47,13594,Thunder,119,28,7,38,45,5,12,3,15,34,7,,,,,,,46,86,12,14,17,13594,2024-03-27
48,13595,Kings,96,27,11,31,42,6,14,5,11,30,-36,,,,,,,35,90,15,19,15,13595,2024-03-27
49,13595,Mavericks,132,34,5,44,49,10,9,4,22,39,36,,,,,,,51,92,8,13,18,13595,2024-03-27
50,13596,Hornets,118,30,8,30,38,8,16,2,13,33,7,,,,,,,44,76,17,22,14,13596,2024-03-27
51,13596,Cavaliers,111,33,9,23,32,7,15,1,19,44,-7,,,,,,,42,85,8,14,21,13596,2024-03-27
52,13597,Magic,93,25,10,29,39,10,11,5,10,32,-8,,,,,,,36,85,11,21,13,13597,2024-03-27
53,13597,Warriors,101,26,12,40,52,5,13,5,10,34,8,,,,,,,40,90,11,13,18,13597,2024-03-27
54,13598,Wizards,119,26,5,39,44,4,14,4,14,34,-3,,,,,,,46,91,13,17,21,13598,2024-03-27
55,13598,Nets,122,24,10,35,45,8,8,9,10,33,3,,,,,,,47,98,18,23,16,13598,2024-03-27
56,13599,Hawks,120,23,8,33,41,12,17,9,16,41,14,,,,,,,44,85,16,20,17,13599,2024-03-27
57,13599,Trail Blazers,106,35,6,27,33,8,19,2,14,31,-14,,,,,,,43,85,6,10,18,13599,2024-03-27
58,13600,76ers,107,17,10,41,51,3,12,11,13,33,-1,,,,,,,39,82,16,19,18,13600,2024-03-27
59,13600,Clippers,108,28,11,32,43,8,8,5,14,36,1,,,,,,,40,90,14,20,16,13600,2024-03-27
60,13601,Raptors,101,31,11,17,28,7,18,4,11,31,-44,,,,,,,39,84,12,13,17,13601,2024-03-27
61,13601,Knicks,145,37,15,27,42,7,11,8,22,44,44,,,,,,,55,94,13,16,17,13601,2024-03-27
