,game_id,team name,points,assists,offReb,defReb,totReb,steals,turnovers,blocks,tpm,tpa,plusMinus,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,fgm,fga,ftm,fta,pfouls,id,date
0,13974,Mavericks,114,26,18,27,45,6,10,4,12,36,13,,,,,,,40,83,22,33,24,13974,2024-05-04
1,13974,Clippers,101,23,16,29,45,4,11,2,8,31,-13,,,,,,,34,82,25,32,26,13974,2024-05-04
2,13972,76ers,115,20,16,30,46,6,12,5,17,40,-3,,,,,,,38,87,22,23,22,13972,2024-05-03
3,13972,Knicks,118,28,20,28,48,6,9,8,14,31,3,,,,,,,43,93,18,24,17,13972,2024-05-03
4,13975,Magic,103,19,15,33,48,6,14,4,11,36,7,,,,,,,35,89,22,26,15,13975,2024-05-03
5,13975,Cavaliers,96,15,7,31,38,8,15,10,7,28,-7,,,,,,,42,86,5,10,23,13975,2024-05-03
6,13969,Clippers,93,18,14,31,45,4,15,0,9,35,-30,,,,,,,33,87,18,21,19,13969,2024-05-02
7,13969,Mavericks,123,27,9,31,40,5,10,6,14,39,30,,,,,,,47,87,15,20,22,13969,2024-05-02
8,13973,Pacers,120,33,7,37,44,7,11,3,13,40,22,,,,,,,46,85,15,17,26,13973,2024-05-02
9,13973,Bucks,98,19,15,25,40,4,12,0,7,27,-22,,,,,,,35,83,21,32,18,13973,2024-05-02
10,13967,Bucks,115,23,11,33,44,8,11,4,11,29,23,,,,,,,44,84,16,20,15,13967,2024-05-01
11,13967,Pacers,92,25,10,26,36,3,13,3,12,38,-23,,,,,,,36,81,8,13,18,13967,2024-05-01
12,13968,Cavaliers,104,23,8,31,39,9,10,3,13,37,1,,,,,,,38,88,15,19,25,13968,2024-05-01
13,13968,Magic,103,17,7,36,43,5,14,7,9,31,-1,,,,,,,36,78,22,29,17,13968,2024-05-01
14,13991,Celtics,118,23,8,48,56,5,15,3,16,40,34,,,,,,,42,77,18,27,15,13991,2024-05-01
15,13991,Heat,84,20,2,27,29,4,6,0,3,29,-34,,,,,,,36,87,9,10,17,13991,2024-05-01
16,13964,Nuggets,108,28,9,36,45,6,14,1,16,38,2,,,,,,,42,89,8,9,16,13964,2024-04-30
17,13964,Lakers,106,30,11,30,41,7,9,6,10,35,-2,,,,,,,39,84,18,27,12,13964,2024-04-30
18,13966,Knicks,106,19,6,34,40,10,15,8,10,36,-6,,,,,,,40,86,16,24,19,13966,2024-04-30
19,13966,76ers,112,28,12,34,46,5,17,7,15,39,6,,,,,,,42,91,13,19,23,13966,2024-04-30
20,13988,Pelicans,89,22,12,38,50,10,19,8,8,34,-8,,,,,,,32,85,17,20,25,13988,2024-04-30
21,13988,Thunder,97,18,8,36,44,9,14,7,12,40,8,,,,,,,35,82,15,24,18,13988,2024-04-30
